Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
SYARIAH CIMB PRINCIPAL ISLAMIC ASIA PACIFIC EQUITY SYARIAH (USD),0.000000,0.000000,-1.958013,0.000000,-0.205026,14371335.753170
SEQUIS BALANCE ULTIMA,0.667551,-0.063094,0.456895,0.056869,-0.113422,157362194314.019989
Shinhan Proteksi IV,0.000000,0.000000,-1.707822,0.000000,-0.011412,645762413147.959961
Mandiri Seri 211,0.000000,0.000000,-2.154931,0.000000,0.004691,75124444403.000000
Lautandhana Balanced Progressive Fund,0.842063,-0.212847,-0.681569,-0.101384,-0.236757,160555103602.010010
Mandiri Seri 151,0.000000,0.000000,-1.123438,0.000000,-0.592623,3397430694.770000
SIMAS INCOME FUND,0.361724,0.013722,0.209366,0.010017,0.031542,541383898316.510010
SYAILENDRA BALANCED OPPORTUNITY FUND KELAS A,0.709052,0.048930,1.026292,0.220392,0.004885,205911402023.720001
REKSA DANA SYARIAH PAN ARCADIA DANA SAHAM SYARIAH,0.538013,-0.082515,-0.642147,-0.157204,-0.080744,161783239511.299988
BNI-AM Indeks IDX30,1.181416,-0.004087,1.117973,0.147926,0.023377,1169648647960.479980
Aurora Balance,0.176404,-0.137024,-1.549499,-0.625380,-0.261704,9707659156.850000
HPAM Pendapatan Tetap Prima,-0.042732,-0.081331,-5.550235,1.931001,-0.110254,53626797.920000
EMCO GROWTH FUND,0.544357,-0.172216,-0.354274,-0.164981,-0.241193,64159721605.220001
Reksa Dana Syariah Pendapatan Tetap PNM Kaffah,0.617143,-0.056797,-1.602359,-0.119951,-0.046108,60512798569.269997
SCHRODER DANA ANDALAN II,0.040128,-0.074279,-7.051139,-1.878980,-0.047480,857957566355.260010
Batavia Global ESG Sharia Equity USD,0.098907,-0.022753,-0.211065,-0.234319,-0.018905,49941849.948540
Trimegah Terproteksi Futura 20,0.000000,0.000000,-1.887146,0.000000,0.001683,606855599565.310059
RHB Sharia Capital Protected Fund 3,0.000000,0.000000,-2.110949,0.000000,-0.014238,115426846342.960007
SYAILENDRA FIXED INCOME FUND,0.759898,-0.019296,-2.038205,-0.053312,-0.012592,92066557703.750000
PANIN DANA UTAMA PLUS 2,0.580652,-0.013273,-1.766538,-0.050778,-0.001565,209157298743.239990
Ganesha Abadi Kelas D,0.247669,-0.072943,-4.833789,-0.322439,-0.051939,125744966123.380005
BNI-AM Proteksi Acacia,0.000000,0.000000,-1.920630,0.000000,-0.020320,153684938631.160004
Bahana Explorer Equity Fund,1.154682,-0.069632,0.705664,0.091081,-0.046216,178636630015.640015
